quantity,formula,status,regime,caveat
"Thermal qubit occupation","g(beta epsilon) = 1 / (1 + exp(beta epsilon))","safe","Baseline Markovian reset model","This is a two-level thermal occupation, not a bosonic nbar factor."
"Virtual inverse temperature","beta_v = (epsilon0 / epsilon_z) beta0 - (epsilon1 / epsilon_z) beta1","safe","Baseline thermodynamic neuron","Requires the collector resonance and weak-coupling interpretation."
"Reset-model output dynamics","dot(beta_z) = - beta_z^2 (j_C + j_M) / C","safe","Analytical Markovian reconstruction","Not a microscopic strong-coupling bath simulation."
"Reset-model entropy production","Sigma = integral dot(Sigma) dt with dot(Sigma) = - sum_k beta_k j_k","safe-baseline-only","Weak coupling, local detailed balance","Do not reuse as strong-coupling entropy production without bath audit."
"Trace preservation","|Tr rho(t) - 1|","safe","All numerical reduced-state simulations","Numerical-health diagnostic, not a thermodynamic observable."
"Hermiticity error","||rho - rho^dagger||","safe","All numerical reduced-state simulations","Numerical-health diagnostic."
"Trace distance","D = 1/2 ||rho_0 - rho_1||_1","safe","Markovian and non-Markovian logic-performance studies","Operational distinguishability, not direct thermodynamic cost."
"Floquet drive-work proxy","W = integral Tr[rho(t) partial_t H_F(t)] dt","provisional","Weak open-system Floquet bridge","Useful for screening; final work requires full energy accounting."
"Reduced-system heat current beyond weak coupling","J_alpha = Tr[D_alpha(rho) H_S]","unsafe-beyond-baseline","Invalid as stated for strong coupling or long memory","Interaction energy and bath memory must be included explicitly."
"Strong-coupling entropy production","requires explicit bath, reaction coordinate, or Hamiltonian-of-mean-force audit","not-yet-implemented","Full non-Markovian thermodynamic claim","This is a thesis extension target, not current evidence."
